State,Type,Tenure,Median_Price,Median_PSF,Transactions
Penang,"Semi D, Terrace House",Freehold,765027.4,341.16,73.0
Melaka,"Semi D, Terrace House",Leasehold,505194.44,330.64,72.0
Kuala Lumpur,Flat,Freehold,167911.76,269.69,68.0
Perak,"Terrace House, Semi D","Freehold, Leasehold",496800.0,344.0,67.0
Negeri Sembilan,"Terrace House, Semi D",Freehold,527048.64,295.17,66.0
Selangor,"Semi D, Town House, Terrace House",Freehold,400000.0,293.0,64.0
Negeri Sembilan,Condominium,Freehold,127796.88,159.61,64.0
Kuala Lumpur,"Terrace House, Semi D",Leasehold,845000.0,511.0,63.0
Selangor,"Terrace House, Town House",Leasehold,515555.56,483.62,63.0
Johor,Service Residence,Leasehold,395619.05,412.63,63.0
Kuala Lumpur,Service Residence,Leasehold,1298809.52,695.48,63.0
Johor,Terrace House,"Freehold, Leasehold",449354.84,334.31,62.0
Selangor,Cluster House,Freehold,1445924.59,618.62,61.0
Negeri Sembilan,"Terrace House, Town House",Freehold,280000.0,207.0,60.0
Kuala Lumpur,"Bungalow, Terrace House",Freehold,1422383.33,592.47,60.0
Sabah,Flat,Leasehold,181716.67,268.83,60.0
Sarawak,Terrace House,"Freehold, Leasehold",300000.0,168.0,59.0
Johor,"Semi D, Cluster House",Freehold,976949.15,331.39,59.0
Perak,Semi D,Freehold,494277.59,170.79,58.0
Selangor,"Terrace House, Bungalow",Leasehold,1072982.46,380.68,57.0
Johor,"Terrace House, Bungalow",Freehold,555263.16,271.32,57.0
Penang,"Cluster House, Terrace House",Freehold,310000.0,260.0,55.0
Negeri Sembilan,Flat,Freehold,81018.18,124.09,55.0
Terengganu,"Bungalow, Terrace House","Freehold, Leasehold",200000.0,62.0,53.0
Selangor,Bungalow,Freehold,1151923.08,238.79,52.0
Kedah,"Town House, Terrace House, Semi D",Freehold,499900.0,267.0,51.0
Kuala Lumpur,"Bungalow, Semi D",Freehold,3600000.0,700.0,51.0
Sabah,Apartment,Freehold,256941.18,437.96,51.0
Sarawak,Apartment,Leasehold,285000.0,356.9,51.0
Penang,Cluster House,Freehold,786900.0,317.2,50.0
Johor,"Semi D, Terrace House",Leasehold,270000.0,245.0,49.0
Perak,Apartment,Freehold,180326.53,219.39,49.0
Penang,"Terrace House, Cluster House",Freehold,341770.83,270.0,48.0
Pahang,"Terrace House, Semi D",Freehold,283955.56,180.89,45.0
Melaka,Apartment,Leasehold,246933.33,305.11,45.0
Selangor,"Bungalow, Terrace House","Leasehold, Freehold",2065909.09,459.75,44.0
Johor,Town House,Freehold,358181.82,285.64,44.0
Penang,Condominium,Leasehold,568590.91,559.61,44.0
Melaka,"Town House, Terrace House",Leasehold,359302.33,225.6,43.0
Selangor,Semi D,Leasehold,605675.0,316.45,40.0
