State,Type,Tenure,Median_Price,Median_PSF,Transactions
Sabah,Semi-D / Cluster homes,Leasehold,500000.0,238.0,14.0
Kedah,Terrace-based homes,Leasehold,145000.0,101.0,14.0
Kelantan,Terrace-based homes,Freehold,325000.0,61.0,13.0
Selangor,Town House,Leasehold,310000.0,250.0,13.0
Kuala Lumpur,Town House,Leasehold,510000.0,431.0,13.0
Putrajaya,High-rise homes,Freehold,250000.0,357.0,12.0
Terengganu,Semi-D / Cluster homes,"Freehold, Leasehold",360000.0,83.0,11.0
Sarawak,Bungalow-based homes,Leasehold,680000.0,114.0,11.0
Kelantan,Bungalow-based homes,Freehold,342500.0,97.0,10.0
Negeri Sembilan,Terrace-based homes,"Leasehold, Freehold",356500.0,247.0,10.0
Sarawak,Semi-D / Cluster homes,Leasehold,865000.0,274.0,10.0
